BANK	Panel_ID	Panel	Organism 
0001	BIT-01	Enterobacteriaceae Carbapenem Breakpoint Panel	Escherichia coli
0002	BIT-02	Enterobacteriaceae Carbapenem Breakpoint Panel	Enterobacter cloacae
0003	BIT-03	Enterobacteriaceae Carbapenem Breakpoint Panel	Klebsiella pneumoniae
0004	BIT-04	Enterobacteriaceae Carbapenem Breakpoint Panel	Klebsiella pneumoniae
0005	BIT-05	Enterobacteriaceae Carbapenem Breakpoint Panel	Klebsiella pneumoniae
0006	BIT-06	Enterobacteriaceae Carbapenem Breakpoint Panel	Escherichia coli
0007	BIT-07	Enterobacteriaceae Carbapenem Breakpoint Panel	Enterobacter aerogenes
0008	BIT-08	Enterobacteriaceae Carbapenem Breakpoint Panel	Enterobacter cloacae
0009	BIT-09	Enterobacteriaceae Carbapenem Breakpoint Panel	Enterobacter aerogenes
0010	BIT-10	Enterobacteriaceae Carbapenem Breakpoint Panel	Klebsiella pneumoniae
0011	BIT-11	Enterobacteriaceae Carbapenem Breakpoint Panel	Escherichia coli
0012	BIT-12	Enterobacteriaceae Carbapenem Breakpoint Panel	Klebsiella pneumoniae
0013	BIT-13	Enterobacteriaceae Carbapenem Breakpoint Panel	Escherichia coli
0014	BIT-14	Enterobacteriaceae Carbapenem Breakpoint Panel	Escherichia coli
0015	BIT-15	Enterobacteriaceae Carbapenem Breakpoint Panel	Escherichia coli
0016	BIT-16	Enterobacteriaceae Carbapenem Breakpoint Panel	Klebsiella pneumoniae
0017	BIT-17	Enterobacteriaceae Carbapenem Breakpoint Panel	Escherichia coli
0018	BIT-18	Enterobacteriaceae Carbapenem Breakpoint Panel	Enterobacter aerogenes
0019	BIT-19	Enterobacteriaceae Carbapenem Breakpoint Panel	Escherichia coli
0020	BIT-20	Enterobacteriaceae Carbapenem Breakpoint Panel	Escherichia coli
0021	BIT-21	Enterobacteriaceae Carbapenem Breakpoint Panel	Citrobacter freundii
0022	BIT-22	Enterobacteriaceae Carbapenem Breakpoint Panel	Citrobacter freundii
0023	BIT-23	Enterobacteriaceae Carbapenem Breakpoint Panel	Citrobacter freundii
0024	BIT-24	Enterobacteriaceae Carbapenem Breakpoint Panel	Citrobacter koseri
0025	BIT-25	Enterobacteriaceae Carbapenem Breakpoint Panel	Citrobacter koseri
0026	BIT-26	Enterobacteriaceae Carbapenem Breakpoint Panel	Providencia stuartii
0027	BIT-27	Enterobacteriaceae Carbapenem Breakpoint Panel	Serratia marcescens
0028	BIT-28	Enterobacteriaceae Carbapenem Breakpoint Panel	Klebsiella oxytoca
0029	BIT-29	Enterobacteriaceae Carbapenem Breakpoint Panel	Proteus mirabilis
0030	BIT-30	Enterobacteriaceae Carbapenem Breakpoint Panel	Shigella sonnei
0031	BIT-31	Enterobacteriaceae Carbapenem Breakpoint Panel	Salmonella Typhimurium
0032	CarbaNP-01	Gram Negative Carbapenemase Detection Panel	Enterobacter cloacae
0033	CarbaNP-02	Gram Negative Carbapenemase Detection Panel	Acinetobacter baumannii
0034	CarbaNP-03	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0035	CarbaNP-04	Gram Negative Carbapenemase Detection Panel	Acinetobacter baumannii
