,MasterBioProject,SlaveBioProject,Title,biosample_id,assembly_id
0,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291569,
1,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291568,
2,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291567,
3,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291566,
4,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291565,
5,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291564,
6,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291563,
7,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291562,
8,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291561,
9,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291560,
10,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291559,
11,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291558,
12,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291557,
13,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291555,
14,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291554,
15,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291553,
16,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291552,
17,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291551,
18,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291550,
19,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291549,
20,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291548,
21,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291547,
22,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291545,
23,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291544,
24,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291543,
25,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291542,
26,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291541,
27,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291540,
28,PRJNA294416,PRJNA316321,FDA/CDC Isolate Bank Genome Sequencing,SAMN07291539,
